cpu_temperature;fan_speed;timestamp
43.75;1306.0;22.09.2016,17:51:59
43.75;1307.0;22.09.2016,17:52:00
43.75;1294.0;22.09.2016,17:52:01
43.75;1290.0;22.09.2016,17:52:03
45.5;1307.0;22.09.2016,17:52:44
47.0;1301.0;22.09.2016,17:52:45
47.375;1291.0;22.09.2016,17:52:46
46.5;1296.0;22.09.2016,17:52:47
46.75;1305.0;22.09.2016,17:52:48
46.75;1302.0;22.09.2016,17:52:49
46.875;1291.0;22.09.2016,17:52:50
46.875;1291.0;22.09.2016,17:52:52
46.625;1304.0;22.09.2016,17:52:53
46.625;1307.0;22.09.2016,17:52:54
46.75;1298.0;22.09.2016,17:52:55
46.625;1290.0;22.09.2016,17:52:56
46.5;1296.0;22.09.2016,17:52:57
46.5;1307.0;22.09.2016,17:52:58
46.5;1302.0;22.09.2016,17:52:59
47.375;1291.0;22.09.2016,17:53:01
46.5;1295.0;22.09.2016,17:53:02
47.25;1307.0;22.09.2016,17:53:03
47.25;1301.0;22.09.2016,17:53:04
47.25;1290.0;22.09.2016,17:53:05
47.125;1299.0;22.09.2016,17:53:06
47.125;1306.0;22.09.2016,17:53:07
47.375;1301.0;22.09.2016,17:53:09
46.75;1290.0;22.09.2016,17:53:10
46.625;1293.0;22.09.2016,17:53:11
46.75;1304.0;22.09.2016,17:53:12
46.5;1307.0;22.09.2016,17:53:13
46.625;1294.0;22.09.2016,17:53:14
46.625;1289.0;22.09.2016,17:53:15
46.625;1299.0;22.09.2016,17:53:16
46.625;1307.0;22.09.2016,17:53:18
48.0;1300.0;22.09.2016,17:53:19
48.0;1290.0;22.09.2016,17:53:20
46.875;1297.0;22.09.2016,17:53:21
48.0;1307.0;22.09.2016,17:53:22
48.0;1307.0;22.09.2016,17:53:23
46.875;1292.0;22.09.2016,17:53:24
46.875;1289.0;22.09.2016,17:53:25
46.75;1304.0;22.09.2016,17:53:27
46.5;1307.0;22.09.2016,17:53:28
46.5;1298.0;22.09.2016,17:53:29
46.625;1290.0;22.09.2016,17:53:30
46.75;1295.0;22.09.2016,17:53:31
46.625;1305.0;22.09.2016,17:53:32
46.5;1308.0;22.09.2016,17:53:33
46.5;1295.0;22.09.2016,17:53:34
47.375;1289.0;22.09.2016,17:53:36
47.375;1302.0;22.09.2016,17:53:37
47.375;1307.0;22.09.2016,17:53:38
46.5;1298.0;22.09.2016,17:53:39
47.375;1291.0;22.09.2016,17:53:40
47.25;1296.0;22.09.2016,17:53:41
47.25;1307.0;22.09.2016,17:53:42
47.25;1306.0;22.09.2016,17:53:43
47.125;1291.0;22.09.2016,17:53:45
47.125;1290.0;22.09.2016,17:53:46
47.0;1306.0;22.09.2016,17:53:47
47.125;1307.0;22.09.2016,17:53:48
47.125;1293.0;22.09.2016,17:53:49
45.875;1289.0;22.09.2016,17:53:50
47.125;1305.0;22.09.2016,17:53:51
45.875;1308.0;22.09.2016,17:53:52
45.875;1295.0;22.09.2016,17:53:54
45.875;1291.0;22.09.2016,17:53:55
45.875;1300.0;22.09.2016,17:53:56
45.75;1306.0;22.09.2016,17:53:57
47.0;1303.0;22.09.2016,17:53:58
45.875;1291.0;22.09.2016,17:53:59
45.75;1294.0;22.09.2016,17:54:00
45.625;1305.0;22.09.2016,17:54:01
45.75;1308.0;22.09.2016,17:54:03
45.625;1292.0;22.09.2016,17:54:04
45.625;1290.0;22.09.2016,17:54:05
45.75;1303.0;22.09.2016,17:54:06
45.625;1308.0;22.09.2016,17:54:07
45.5;1297.0;22.09.2016,17:54:08
45.625;1290.0;22.09.2016,17:54:09
46.375;1295.0;22.09.2016,17:54:10
45.625;1307.0;22.09.2016,17:54:12
45.625;1302.0;22.09.2016,17:54:13
45.75;1291.0;22.09.2016,17:54:14
47.375;1296.0;22.09.2016,17:54:15
48.0;1306.0;22.09.2016,17:54:16
49.125;1303.0;22.09.2016,17:54:18
50.0;1292.0;22.09.2016,17:54:19
50.375;1293.0;22.09.2016,17:54:20
50.375;1305.0;22.09.2016,17:54:21
49.5;1310.0;22.09.2016,17:54:22
49.75;1294.0;22.09.2016,17:54:24
51.0;1290.0;22.09.2016,17:54:25
51.25;1301.0;22.09.2016,17:54:26
51.25;1310.0;22.09.2016,17:54:27
50.5;1299.0;22.09.2016,17:54:28
51.375;1291.0;22.09.2016,17:54:29
50.75;1290.0;22.09.2016,17:54:30
50.75;1306.0;22.09.2016,17:54:32
52.25;1304.0;22.09.2016,17:54:33
52.375;1295.0;22.09.2016,17:54:34
52.375;1290.0;22.09.2016,17:54:35
52.375;1303.0;22.09.2016,17:54:36
51.5;1308.0;22.09.2016,17:54:37
51.5;1297.0;22.09.2016,17:54:39
51.5;1291.0;22.09.2016,17:54:40
51.625;1297.0;22.09.2016,17:54:41
51.625;1307.0;22.09.2016,17:54:42
51.75;1302.0;22.09.2016,17:54:43
51.75;1292.0;22.09.2016,17:54:44
51.625;1291.0;22.09.2016,17:54:45
51.625;1306.0;22.09.2016,17:54:47
51.5;1308.0;22.09.2016,17:54:48
52.25;1294.0;22.09.2016,17:54:49
52.25;1290.0;22.09.2016,17:54:50
52.0;1302.0;22.09.2016,17:54:51
50.875;1310.0;22.09.2016,17:54:52
50.875;1300.0;22.09.2016,17:54:53
50.625;1293.0;22.09.2016,17:54:55
50.75;1291.0;22.09.2016,17:54:56
50.625;1306.0;22.09.2016,17:54:57
50.5;1307.0;22.09.2016,17:54:58
50.5;1294.0;22.09.2016,17:54:59
50.5;1291.0;22.09.2016,17:55:00
50.625;1303.0;22.09.2016,17:55:01
50.75;1310.0;22.09.2016,17:55:03
52.0;1296.0;22.09.2016,17:55:04
52.0;1290.0;22.09.2016,17:55:05
52.0;1292.0;22.09.2016,17:55:06
52.125;1309.0;22.09.2016,17:55:07
52.0;1304.0;22.09.2016,17:55:08
50.875;1293.0;22.09.2016,17:55:09
52.125;1291.0;22.09.2016,17:55:10
50.75;1307.0;22.09.2016,17:55:12
50.75;1309.0;22.09.2016,17:55:13
50.625;1292.0;22.09.2016,17:55:14
50.75;1290.0;22.09.2016,17:55:15
50.875;1300.0;22.09.2016,17:55:16
52.0;1310.0;22.09.2016,17:55:17
50.75;1297.0;22.09.2016,17:55:18
50.75;1290.0;22.09.2016,17:55:20
50.75;1292.0;22.09.2016,17:55:21
50.625;1308.0;22.09.2016,17:55:22
50.625;1299.0;22.09.2016,17:55:23
50.875;1292.0;22.09.2016,17:55:24
52.375;1292.0;22.09.2016,17:55:25
52.375;1307.0;22.09.2016,17:55:26
51.625;1300.0;22.09.2016,17:55:28
51.5;1293.0;22.09.2016,17:55:29
51.625;1291.0;22.09.2016,17:55:30
51.625;1307.0;22.09.2016,17:55:31
51.75;1308.0;22.09.2016,17:55:32
51.875;1294.0;22.09.2016,17:55:33
53.0;1292.0;22.09.2016,17:55:34
53.25;1290.0;22.09.2016,17:55:36
52.5;1304.0;22.09.2016,17:55:37
53.25;1309.0;22.09.2016,17:55:38
53.25;1296.0;22.09.2016,17:55:39
53.25;1292.0;22.09.2016,17:55:40
52.625;1298.0;22.09.2016,17:55:41
53.25;1308.0;22.09.2016,17:55:42
53.25;1297.0;22.09.2016,17:55:43
51.75;1293.0;22.09.2016,17:55:45
